QUESTION,ANSWER_CHOICES,ANSWERS,EXPLANATIONS
A Developer executed a AWS CLI command and received the error shown below. What action should the Developer perform to make this error human-readable?,"[""Make a call to AWS KMS to decode the message."", ""Use the AWS STS `decode-authorization-message` API to decode the message."", ""Use an open source decoding library to decode the message."", ""Use the AWS IAM `decode-authorization-message` API to decode this message.""]","[""Use the AWS STS `decode-authorization-message` API to decode the message.""]","{""Make a call to AWS KMS to decode the message."": ""Incorrect. AWS KMS (Key Management Service) is used for encryption and decryption of data using cryptographic keys. It is not used for decoding authorization messages from AWS CLI errors. The error message in question is related to AWS IAM permissions, not encrypted data."", ""Use the AWS STS `decode-authorization-message` API to decode the message."": ""Correct. AWS STS (Security Token Service) provides the `decode-authorization-message` API, which is specifically designed to decode authorization failure messages. This API helps developers understand the permissions issues that caused the error, making it human-readable. This is a common practice when troubleshooting IAM permission errors."", ""Use an open source decoding library to decode the message."": ""Incorrect. Open source decoding libraries are not designed to interpret AWS-specific authorization messages. These messages are encoded in a format that requires AWS-specific tools, such as the AWS STS `decode-authorization-message` API, to decode."", ""Use the AWS IAM `decode-authorization-message` API to decode this message."": ""Incorrect. While the message pertains to IAM permissions, there is no `decode-authorization-message` API in AWS IAM. The correct service to use is AWS STS, which provides the specific API for decoding authorization messages.""}"
"A Developer uses AWS CodeDeploy to automate application deployment that connects to an external MySQL database. The Developer wants to securely access the encrypted secrets, such as API keys and database passwords. Which of the following solutions would involve the LEAST administrative effort?","[""Save the secrets in Amazon S3 with AWS KMS server-side encryption, and use a signed URL to access them by using the IAM role from Amazon EC2 instances."", ""Use the instance metadata to store the secrets and to programmatically access the secrets from EC2 instances."", ""Use the Amazon DynamoDB client-side encryption library to save the secrets in DynamoDB and to programmatically access the secrets from EC2 instances."", ""Use AWS SSM Parameter Store to store the secrets and to programmatically access them by using the IAM role from EC2 instances.""]","[""Use AWS SSM Parameter Store to store the secrets and to programmatically access them by using the IAM role from EC2 instances.""]","```json
{
    ""Save the secrets in Amazon S3 with AWS KMS server-side encryption, and use a signed URL to access them by using the IAM role from Amazon EC2 instances."": ""This option is incorrect because while Amazon S3 with AWS KMS can securely store secrets, it involves more administrative effort to manage signed URLs and ensure secure access. Additionally, S3 is not specifically designed for secrets management, which can lead to increased complexity and potential security risks."",
    ""Use the instance metadata to store the secrets and to programmatically access the secrets from EC2 instances."": ""This option is incorrect because instance metadata is not intended for storing sensitive information like secrets. Instance metadata is accessible without authentication from the instance itself, which poses a significant security risk. AWS best practices recommend using dedicated secrets management services for handling sensitive data."",
    ""Use the Amazon DynamoDB client-side encryption library to save the secrets in DynamoDB and to programmatically access the secrets from EC2 instances."": ""This option is incorrect because while DynamoDB can be used to store encrypted data, it requires additional client-side encryption logic and key management, which increases administrative overhead. DynamoDB is not optimized for secrets management, making it less suitable compared to services specifically designed for this purpose."",
    ""Use AWS SSM Parameter Store to store the secrets and to programmatically access them by using the IAM role from EC2 instances."": ""This option is correct because AWS SSM Parameter Store is specifically designed for storing and managing configuration data and secrets securely. It integrates with AWS IAM for access control, reducing administrative effort. Parameter Store supports encryption with AWS KMS and allows for easy programmatic access from EC2 instances, making it a best practice for secrets management.""
}
```"
An application stops working with the following error: `The specified bucket does not exist`. Where is the BEST place to start the root cause analysis?,"[""Check the Elastic Load Balancer logs for DeleteBucket requests."", ""Check the application logs in Amazon CloudWatch Logs for Amazon S3 DeleteBucket errors."", ""Check AWS X-Ray for Amazon S3 DeleteBucket alarms."", ""Check AWS CloudTrail for a DeleteBucket event.""]","[""Check AWS CloudTrail for a DeleteBucket event.""]","```json
{
    ""Check the Elastic Load Balancer logs for DeleteBucket requests."": ""Elastic Load Balancer logs are primarily used for monitoring and troubleshooting issues related to load balancing, such as request routing and response times. They do not log S3 operations like DeleteBucket requests. Therefore, this choice is incorrect because it does not relate to the specific issue of a bucket being deleted in Amazon S3."",
    ""Check the application logs in Amazon CloudWatch Logs for Amazon S3 DeleteBucket errors."": ""While application logs in CloudWatch Logs can provide insights into application-level errors, they may not capture specific AWS service-level events like DeleteBucket operations unless explicitly logged by the application. This choice is incorrect because it assumes the application logs such events, which is not guaranteed without specific implementation."",
    ""Check AWS X-Ray for Amazon S3 DeleteBucket alarms."": ""AWS X-Ray is used for tracing requests through an application and visualizing the application architecture. It does not natively monitor or log S3 operations such as DeleteBucket events. This choice is incorrect because AWS X-Ray is not designed to track S3 bucket deletions."",
    ""Check AWS CloudTrail for a DeleteBucket event."": ""AWS CloudTrail is the correct choice because it provides a history of AWS API calls for your account, including S3 operations like DeleteBucket. CloudTrail logs are the best source for tracking changes to AWS resources, making it the best place to start root cause analysis for the specified error. This aligns with AWS best practices for auditing and monitoring AWS resource changes.""
}
```"
A Developer will be using the AWS CLI on a local development server to manage AWS services. What can be done to ensure that the CLI uses the Developer's IAM permissions when making commands?,"[""Specify the Developer's IAM access key ID and secret access key as parameters for each CLI command."", ""Run the `aws configure` CLI command, and provide the Developer's IAM access key ID and secret access key."", ""Specify the Developer's IAM user name and password as parameters for each CLI command."", ""Use the Developer's IAM role when making the CLI command.""]","[""Run the `aws configure` CLI command, and provide the Developer's IAM access key ID and secret access key.""]","```json
{
    ""Specify the Developer's IAM access key ID and secret access key as parameters for each CLI command."": ""This choice is incorrect because while it is technically possible to specify the access key ID and secret access key as parameters for each CLI command, it is not practical or secure. This method would require the developer to repeatedly enter sensitive information, increasing the risk of exposure. It also goes against AWS best practices, which recommend using the AWS CLI configuration file to securely store credentials."",
    ""Run the `aws configure` CLI command, and provide the Developer's IAM access key ID and secret access key."": ""This choice is correct because the `aws configure` command is the recommended way to set up the AWS CLI with a user's credentials. It securely stores the IAM access key ID and secret access key in the AWS CLI configuration file, allowing the CLI to automatically use these credentials for subsequent commands. This method adheres to AWS best practices for managing credentials securely and efficiently."",
    ""Specify the Developer's IAM user name and password as parameters for each CLI command."": ""This choice is incorrect because the AWS CLI does not use IAM user names and passwords for authentication. Instead, it uses access key IDs and secret access keys. IAM user names and passwords are used for AWS Management Console access, not for programmatic access via the CLI."",
    ""Use the Developer's IAM role when making the CLI command."": ""This choice is incorrect in the context of using the AWS CLI on a local development server. IAM roles are typically used for granting permissions to AWS resources and services, not for direct CLI authentication. While roles can be assumed programmatically, the initial authentication still requires valid credentials, such as an access key ID and secret access key, which are set up using the `aws configure` command.""
}
```"
An application stores images in an S3 bucket. Amazon S3 event notifications are used to trigger a Lambda function that resizes the images. Processing each image takes less than a second. How will AWS Lambda handle the additional traffic?,"[""Lambda will scale out to execute the requests concurrently."", ""Lambda will handle the requests sequentially in the order received."", ""Lambda will process multiple images in a single execution."", ""Lambda will add more compute to each execution to reduce processing time.""]","[""Lambda will scale out to execute the requests concurrently.""]","```json
{
    ""Lambda will scale out to execute the requests concurrently."": ""This choice is correct because AWS Lambda is designed to automatically scale out to handle incoming requests concurrently. When an S3 event notification triggers a Lambda function, Lambda can invoke multiple instances of the function in parallel, each handling a separate event. This is a key feature of Lambda's serverless architecture, allowing it to handle high volumes of requests efficiently without manual intervention. According to AWS best practices, Lambda can scale to handle thousands of concurrent executions, making it well-suited for tasks like processing images in parallel."",
    ""Lambda will handle the requests sequentially in the order received."": ""This choice is incorrect because AWS Lambda does not process requests sequentially by default. Instead, Lambda is designed to handle multiple requests concurrently, as long as the concurrency limits are not exceeded. Sequential processing would be inefficient for high-volume, parallelizable tasks like image processing, and it is not how Lambda is typically configured to operate."",
    ""Lambda will process multiple images in a single execution."": ""This choice is incorrect because each Lambda invocation typically processes a single event or request. While it is technically possible to batch process multiple images in a single execution by configuring the event source or the function logic, this is not the default behavior for S3 event notifications. Each image upload to S3 typically triggers a separate Lambda invocation."",
    ""Lambda will add more compute to each execution to reduce processing time."": ""This choice is incorrect because AWS Lambda does not dynamically add more compute resources to a single execution to reduce processing time. Instead, Lambda scales by increasing the number of concurrent executions. The compute resources (memory and CPU) for each execution are determined by the memory allocation setting for the function, which can be adjusted, but this does not dynamically change during execution.""
}
```"
"A company is building a stock trading application that requires sub-millisecond latency in processing trading requests. Amazon DynamoDB is used to store all the trading data that is used to process each request. After load testing the application, the development team found that due to data retrieval times, the latency requirement is not satisfied. Because of sudden high spikes in the number of requests, DynamoDB read capacity has to be significantly over-provisioned to avoid throttling. What steps should be taken to meet latency requirements and reduce the cost of running the application?","[""Add Global Secondary Indexes for trading data."", ""Store trading data in Amazon S3 and use Transfer Acceleration."", ""Add retries with exponential back-off for DynamoDB queries."", ""Use DynamoDB Accelerator to cache trading data.""]","[""Add Global Secondary Indexes for trading data.""]","```json
{
    ""Add Global Secondary Indexes for trading data."": ""This choice is incorrect. Global Secondary Indexes (GSIs) in DynamoDB allow for querying on non-primary key attributes, which can improve query flexibility but do not inherently reduce latency or address over-provisioning issues. The problem described is related to latency and over-provisioning due to high request spikes, which GSIs do not directly solve. GSIs can also add complexity and cost if not managed properly."",
    ""Store trading data in Amazon S3 and use Transfer Acceleration."": ""This choice is incorrect. Amazon S3 is not suitable for use cases requiring sub-millisecond latency, as it is designed for high durability and scalability rather than low-latency access. Transfer Acceleration is used to speed up uploads to S3 over long distances, not to reduce data retrieval latency. This does not address the latency or over-provisioning issues with DynamoDB."",
    ""Add retries with exponential back-off for DynamoDB queries."": ""This choice is incorrect. While adding retries with exponential back-off is a best practice for handling transient errors and throttling in DynamoDB, it does not address the root cause of high latency or the need for over-provisioning. It is a mitigation strategy for handling errors rather than a solution for reducing latency."",
    ""Use DynamoDB Accelerator to cache trading data."": ""This choice is correct. DynamoDB Accelerator (DAX) is an in-memory caching service that can significantly reduce read latency from milliseconds to microseconds, which is suitable for applications requiring sub-millisecond latency. DAX helps reduce the load on DynamoDB by caching frequently accessed data, which can also reduce the need for over-provisioning read capacity. This aligns with AWS best practices for optimizing performance and cost in high-traffic applications.""
}
```"
"A Developer created a Lambda function for a web application backend. When testing the Lambda function from the AWS Lambda console, the Developer can see that the function is being executed, but there is no log data being generated in Amazon CloudWatch Logs, even after several minutes. What could cause this situation?","[""The Lambda function does not have any explicit log statements for the log data to send it to CloudWatch Logs."", ""The Lambda function is missing CloudWatch Logs as a source trigger to send log data."", ""The execution role for the Lambda function is missing permissions to write log data to the CloudWatch Logs."", ""The Lambda function is missing a target CloudWatch Log group.""]","[""The execution role for the Lambda function is missing permissions to write log data to the CloudWatch Logs.""]","```json
{
    ""The Lambda function does not have any explicit log statements for the log data to send it to CloudWatch Logs."": ""This choice is incorrect because AWS Lambda automatically generates log entries for each invocation, including start and end logs, even if the function code does not contain explicit log statements. Therefore, the absence of explicit log statements in the code does not prevent logs from being sent to CloudWatch Logs."",
    ""The Lambda function is missing CloudWatch Logs as a source trigger to send log data."": ""This choice is incorrect because CloudWatch Logs is not a source trigger for Lambda functions. Instead, Lambda automatically sends logs to CloudWatch Logs without needing it to be configured as a trigger. The issue is more likely related to permissions rather than configuration of triggers."",
    ""The execution role for the Lambda function is missing permissions to write log data to the CloudWatch Logs."": ""This choice is correct. For a Lambda function to send logs to CloudWatch Logs, its execution role must have the necessary permissions, specifically the 'AWSLambdaBasicExecutionRole' policy, which includes permissions to create log groups and write log streams. If these permissions are missing, logs will not appear in CloudWatch Logs."",
    ""The Lambda function is missing a target CloudWatch Log group."": ""This choice is incorrect because AWS Lambda automatically creates a CloudWatch Log group for the function if it doesn't already exist. Therefore, the absence of a target log group is not a reason for the lack of log data in CloudWatch Logs.""
}
```"
"A Developer wants to use AWS X-Ray to trace a user request end-to-end throughput the software stack. The Developer made the necessary changes in the application tested it, and found that the application is able to send the traces to AWS X-Ray. However, when the application is deployed to an EC2 instance, the traces are not availableWhich of the following could create this situation? (Choose TWO)","[""The traces are reaching X-Ray, but the Developer does not have access to view the records."", ""The X-Ray daemon is not installed on the EC2 instance."", ""The X-Ray endpoint specified in the application configuration is incorrect."", ""The instance role does not have `xray:BatchGetTraces` and `xray:GetTraceGraph` permissions.The instance role does not have `xray:PutTraceSegments` and `xray:PutTelemetryRecords` permissions."", ""The instance role does not have `xray:PutTraceSegments` and `xray:PutTelemetryRecords` permissions.""]","[""The X-Ray daemon is not installed on the EC2 instance."", ""The instance role does not have `xray:PutTraceSegments` and `xray:PutTelemetryRecords` permissions.""]","```json
{
    ""The traces are reaching X-Ray, but the Developer does not have access to view the records."": ""This choice is incorrect because the issue described is about traces not being available at all, not about access permissions to view existing traces. If traces were reaching X-Ray, they would be visible to someone with the correct permissions, but the problem is that traces are not being sent from the EC2 instance."",
    ""The X-Ray daemon is not installed on the EC2 instance."": ""This choice is correct because the X-Ray daemon is responsible for sending trace data from the application running on the EC2 instance to the X-Ray service. Without the daemon installed and running, traces will not be sent to X-Ray, which explains why they are not available."",
    ""The X-Ray endpoint specified in the application configuration is incorrect."": ""This choice is incorrect because the question specifies that the application was tested and able to send traces to X-Ray, indicating that the endpoint configuration was correct during testing. The problem arises only when deployed to the EC2 instance, suggesting a different issue."",
    ""The instance role does not have `xray:BatchGetTraces` and `xray:GetTraceGraph` permissions."": ""This choice is incorrect because these permissions are related to retrieving trace data from X-Ray, not sending it. The problem is with traces not being sent to X-Ray, which requires different permissions (`xray:PutTraceSegments` and `xray:PutTelemetryRecords`)."",
    ""The instance role does not have `xray:PutTraceSegments` and `xray:PutTelemetryRecords` permissions."": ""This choice is correct because these permissions are necessary for the EC2 instance to send trace data and telemetry records to X-Ray. Without these permissions, the X-Ray daemon cannot send data, resulting in traces not being available.""
}
```"
An application has hundreds of users. Each user may use multiple devices to access the application. The Developer wants to assign unique identifiers to these users regardless of the device they use. Which of the following methods should be used to obtain unique identifiers?,"[""Create a user table in Amazon DynamoDB as key-value pairs of users and their devices. Use these keys as unique identifiers."", ""Use IAM-generated access key IDs for the users as the unique identifier, but do not store secret keys."", ""Implement developer-authenticated identities by using Amazon Cognito, and get credentials for these identities."", ""Assign IAM users and roles to the users. Use the unique IAM resource ID as the unique identifier.""]","[""Assign IAM users and roles to the users. Use the unique IAM resource ID as the unique identifier.""]","{""Create a user table in Amazon DynamoDB as key-value pairs of users and their devices. Use these keys as unique identifiers."": ""This choice is incorrect because while DynamoDB can store user data, it does not inherently provide a mechanism for generating unique identifiers across multiple devices for the same user. DynamoDB is a NoSQL database service that is suitable for storing structured data, but it does not solve the problem of uniquely identifying users across devices without additional logic implemented by the developer."", ""Use IAM-generated access key IDs for the users as the unique identifier, but do not store secret keys."": ""This choice is incorrect because IAM access key IDs are intended for programmatic access to AWS services and are not designed to serve as unique identifiers for application users. Additionally, IAM is not meant to manage individual application users, especially in high-volume scenarios like hundreds of users with multiple devices. Using IAM in this way would not follow best practices for user management."", ""Implement developer-authenticated identities by using Amazon Cognito, and get credentials for these identities."": ""This choice is correct because Amazon Cognito is designed to manage user identities and provides a scalable solution for handling user authentication and authorization across multiple devices. Cognito allows developers to create unique identifiers for users through developer-authenticated identities, making it ideal for applications with users accessing from multiple devices. This aligns with AWS best practices for user management."", ""Assign IAM users and roles to the users. Use the unique IAM resource ID as the unique identifier."": ""This choice is incorrect because IAM users and roles are intended for managing AWS resources and permissions, not for managing application users. Assigning IAM users and roles to each application user is not scalable or practical for applications with hundreds of users, especially when each user may access the application from multiple devices. This approach does not align with AWS best practices for managing application user identities.""}"
What are the steps to using the AWS CLI to launch a templatized serverless application?,"[""Use AWS CloudFormation get-template then CloudFormation execute-change-set."", ""Use AWS CloudFormation validate-template then CloudFormation create-change-set."", ""Use AWS CloudFormation package then CloudFormation deploy."", ""Use AWS CloudFormation create-stack then CloudFormation update-stack.""]","[""Use AWS CloudFormation package then CloudFormation deploy.""]","```json
{
    ""Use AWS CloudFormation get-template then CloudFormation execute-change-set."": ""This choice is incorrect because 'get-template' is used to retrieve the template body for an existing stack, not for launching a new application. 'execute-change-set' is used to apply changes to an existing stack based on a change set, not for initially deploying a serverless application. This does not align with the process of packaging and deploying a serverless application using AWS CLI."",
    ""Use AWS CloudFormation validate-template then CloudFormation create-change-set."": ""This choice is incorrect because 'validate-template' is used to check the syntax of a CloudFormation template, and 'create-change-set' is used to propose changes to an existing stack. While these commands are useful for ensuring template correctness and planning updates, they are not part of the typical workflow for launching a new serverless application from a template."",
    ""Use AWS CloudFormation package then CloudFormation deploy."": ""This choice is correct because 'package' is used to package local artifacts (such as code for Lambda functions) and upload them to an S3 bucket, replacing local references with S3 URLs in the template. 'deploy' is then used to create or update the stack with the packaged template. This is the recommended process for deploying serverless applications, as it handles the packaging of code and deployment in one streamlined workflow."",
    ""Use AWS CloudFormation create-stack then CloudFormation update-stack."": ""This choice is incorrect because 'create-stack' and 'update-stack' are used for directly creating and updating stacks without the intermediate packaging step. While these commands are part of the stack management process, they do not handle the packaging of serverless application code, which is necessary for deploying applications that include local artifacts.""
}
```"
"A deployment package uses the AWS CLI to copy files into any S3 bucket in the account, using access keys stored in environment variables. The package is running on EC2 instances, and the instances have been modified to run with an assumed IAM role and a more restrictive policy that allows access to only one bucket. After the change, the Developer logs into the host and still has the ability to write into all of the S3 buckets in that account. What is the MOST likely cause of this situation?","[""An IAM inline policy is being used on the IAM role."", ""An IAM managed policy is being used on the IAM role."", ""The AWS CLI is corrupt and needs to be reinstalled."", ""The AWS credential provider looks for instance profile credentials last.""]","[""An IAM managed policy is being used on the IAM role.""]","```json
{
    ""An IAM inline policy is being used on the IAM role."": ""This choice is incorrect because an inline policy would be directly attached to the IAM role and would override any other policies if it were more permissive. However, the problem states that the role has a restrictive policy, so an inline policy being used would not explain the ability to access all buckets."",
    ""An IAM managed policy is being used on the IAM role."": ""This choice is correct because managed policies can be attached to multiple roles and might not have been updated to reflect the new restrictive access requirements. If the managed policy allows access to all S3 buckets, it would override the more restrictive inline policy or instance profile, explaining why the developer can still write to all buckets."",
    ""The AWS CLI is corrupt and needs to be reinstalled."": ""This choice is incorrect because corruption of the AWS CLI would not cause it to bypass IAM permissions. The CLI simply uses the credentials and permissions provided to it, and corruption would more likely result in errors or inability to execute commands rather than incorrect permissions."",
    ""The AWS credential provider looks for instance profile credentials last."": ""This choice is incorrect because the AWS CLI uses a specific order for credential resolution, where instance profile credentials are prioritized over environment variables if they are present. If the instance profile was correctly configured, it should override the environment variables, not the other way around.""
}
```"
"An application overwrites an object in Amazon S3, and then immediately reads the same object. Why would the application sometimes retrieve the old version of the object?","[""S3 overwrite PUTS are eventually consistent, so the application may read the old object."", ""The application needs to add extra metadata to label the latest version when uploading to Amazon S3."", ""All S3 PUTS are eventually consistent, so the application may read the old object."", ""The application needs to explicitly specify latest version when retrieving the object.""]","[""S3 overwrite PUTS are eventually consistent, so the application may read the old object.""]","```json
{
    ""S3 overwrite PUTS are eventually consistent, so the application may read the old object."": ""This choice is correct. Amazon S3 provides eventual consistency for overwrite PUTS and DELETES in all regions. This means that when an object is overwritten, there may be a delay before the change is reflected in all regions, leading to the possibility of reading the old version of the object immediately after an overwrite. This behavior is well-documented in AWS's consistency model for S3."",
    ""The application needs to add extra metadata to label the latest version when uploading to Amazon S3."": ""This choice is incorrect. Adding metadata does not affect the consistency model of Amazon S3. Metadata is used for storing additional information about the object but does not influence how S3 handles object versioning or consistency. The issue of reading an old version is related to the eventual consistency model, not metadata."",
    ""All S3 PUTS are eventually consistent, so the application may read the old object."": ""This choice is incorrect. While overwrite PUTS are eventually consistent, Amazon S3 provides read-after-write consistency for PUTS of new objects in all regions. This means that when a new object is uploaded, it is immediately available for read operations. Therefore, not all PUTS are eventually consistent, only overwrite PUTS are."",
    ""The application needs to explicitly specify latest version when retrieving the object."": ""This choice is incorrect. While versioning can be enabled in S3 to keep multiple versions of an object, the issue in the question is related to eventual consistency, not versioning. Even if versioning is enabled, the eventual consistency model still applies to overwrite PUTS. Specifying a version is only relevant if versioning is enabled and multiple versions exist.""
}
```"
"An application under development is required to store hundreds of video files. The data must be encrypted within the application prior to storage, with a unique key for each video file. How should the Developer code the application?","[""Use the KMS Encrypt API to encrypt the data. Store the encrypted data key and data."", ""Use a cryptography library to generate an encryption key for the application. Use the encryption key to encrypt the data. Store the encrypted data."", ""Use the KMS GenerateDataKey API to get a data key. Encrypt the data with the data key. Store the encrypted data key and data."", ""Upload the data to an S3 bucket using server side-encryption with an AWS KMS key.""]","[""Use the KMS GenerateDataKey API to get a data key. Encrypt the data with the data key. Store the encrypted data key and data.""]","```json
{
    ""Use the KMS Encrypt API to encrypt the data. Store the encrypted data key and data."": ""This choice is incorrect because the KMS Encrypt API is used for encrypting small amounts of data directly, typically up to 4 KB. It is not suitable for encrypting large files such as video files. Instead, AWS recommends using the GenerateDataKey API to obtain a data key for encrypting larger data, which is the correct approach for this scenario."",
    ""Use a cryptography library to generate an encryption key for the application. Use the encryption key to encrypt the data. Store the encrypted data."": ""This choice is incorrect because while it is possible to use a cryptography library to generate encryption keys, it does not leverage AWS KMS for key management, which provides additional security and management features. Using KMS ensures that keys are securely managed, rotated, and audited, which is a best practice in AWS environments."",
    ""Use the KMS GenerateDataKey API to get a data key. Encrypt the data with the data key. Store the encrypted data key and data."": ""This choice is correct because the KMS GenerateDataKey API is designed for scenarios where you need to encrypt large amounts of data. It provides a data key that can be used to encrypt the data, and the encrypted data key can be stored alongside the encrypted data. This approach leverages AWS KMS for secure key management and is a best practice for encrypting large files like video files."",
    ""Upload the data to an S3 bucket using server side-encryption with an AWS KMS key."": ""This choice is incorrect for the given scenario because it describes server-side encryption, where AWS manages the encryption and decryption process. The question specifies that the data must be encrypted within the application prior to storage, which requires client-side encryption. Server-side encryption with S3 does not meet the requirement of encrypting data within the application.""
}
```"
"A developer is testing an application that invokes an AWS Lambda function asynchronously. During the testing phase, the Lambda function fails to process after two retries. How can the developer troubleshoot the failure?","[""Configure AWS CloudTrail logging to investigate the invocation failures."", ""Configure Dead Letter Queues by sending events to Amazon SQS for investigatio."", ""Configure Amazon Simple Workflow Service to process any direct unprocessed events."", ""Configure AWS Config to process any direct unprocessed events.""]","[""Configure Dead Letter Queues by sending events to Amazon SQS for investigatio.""]","```json
{
    ""Configure AWS CloudTrail logging to investigate the invocation failures."": ""Incorrect. AWS CloudTrail is used to log API calls made within an AWS account, which can help track who made changes to resources. However, it is not designed to directly troubleshoot Lambda invocation failures or provide insights into why a Lambda function failed. It does not capture the payload or the execution details of a Lambda function."",
    ""Configure Dead Letter Queues by sending events to Amazon SQS for investigatio."": ""Correct. Dead Letter Queues (DLQs) are a best practice for handling failed asynchronous invocations in AWS Lambda. When a Lambda function fails after retries, the event can be sent to an Amazon SQS queue or an Amazon SNS topic for further analysis. This allows developers to inspect the payload that caused the failure and troubleshoot the issue. DLQs provide a reliable way to capture and analyze failed events, which is essential for debugging and improving application resilience."",
    ""Configure Amazon Simple Workflow Service to process any direct unprocessed events."": ""Incorrect. Amazon Simple Workflow Service (SWF) is used for building applications that coordinate work across distributed components, often for complex workflows. It is not used for handling failed Lambda invocations or for processing unprocessed events directly from Lambda. SWF is more suited for orchestrating tasks and managing state rather than troubleshooting Lambda failures."",
    ""Configure AWS Config to process any direct unprocessed events."": ""Incorrect. AWS Config is a service that enables assessment, auditing, and evaluation of the configurations of AWS resources. It is used for compliance and security monitoring, not for processing or troubleshooting unprocessed events from AWS Lambda. AWS Config does not handle event processing or provide insights into Lambda function execution failures.""
}
```"
A developer is setting up Amazon API Gateway for their company's products. The API will be used by registered developers to query and update their environments. The company wants to limit the amount of requests end users can send for both cost and security reasons. Management wants to offer registered developers the option of buying larger packages that allow for more requests. How can the developer accomplish this with the LEAST amount of overhead management?,"[""Enable throttling for the API Gateway stage. Set a value for both the rate and burst capacity. If a registered user chooses a larger package, create a stage for them, adjust the values, and share the new URL with them."", ""Set up Amazon CloudWatch API logging in API Gateway. Create a filter based on the user and requestTime fields and create an alarm on this filter. Write an AWS Lambda function to analyze the values and requester information, and respond accordingly. Set up the function as the target for the alarm. If a registered user chooses a larger package, update the Lambda code with the values."", ""Enable Amazon CloudWatch metrics for the API Gateway stage. Set up CloudWatch alarms based off the Count metric and the ApiName, Method, Resource, and Stage dimensions to alerts when request rates pass the threshold. Set the alarm action to `Deny`. If a registered user chooses a larger package, create a user-specific alarm and adjust the values."", ""Set up a default usage plan, specify values for the rate and burst capacity, and associate it with a stage. If a registered user chooses a larger package, create a custom plan with the appropriate values and associate the plan with the user.""]","[""Set up a default usage plan, specify values for the rate and burst capacity, and associate it with a stage. If a registered user chooses a larger package, create a custom plan with the appropriate values and associate the plan with the user.""]","```json
{
    ""Enable throttling for the API Gateway stage. Set a value for both the rate and burst capacity. If a registered user chooses a larger package, create a stage for them, adjust the values, and share the new URL with them."": ""This approach is incorrect because it involves creating separate stages for each user who wants a different package, which is inefficient and increases management overhead. Each stage would require its own URL, complicating the management and usage of the API. AWS best practices recommend using usage plans to manage throttling and quota limits per user or API key, which is more scalable and manageable."",
    ""Set up Amazon CloudWatch API logging in API Gateway. Create a filter based on the user and requestTime fields and create an alarm on this filter. Write an AWS Lambda function to analyze the values and requester information, and respond accordingly. Set up the function as the target for the alarm. If a registered user chooses a larger package, update the Lambda code with the values."": ""This method is incorrect due to its complexity and high management overhead. It involves setting up CloudWatch logging, creating filters and alarms, and writing a Lambda function to handle request limits, which is not the intended use of these services. This approach is not efficient for managing API request limits and does not leverage the built-in capabilities of API Gateway usage plans."",
    ""Enable Amazon CloudWatch metrics for the API Gateway stage. Set up CloudWatch alarms based off the Count metric and the ApiName, Method, Resource, and Stage dimensions to alerts when request rates pass the threshold. Set the alarm action to `Deny`. If a registered user chooses a larger package, create a user-specific alarm and adjust the values."": ""This option is incorrect because it relies on CloudWatch alarms to manage request limits, which is not the most efficient or intended use of CloudWatch. While CloudWatch can monitor API Gateway metrics, using it to enforce request limits with alarms and deny actions is cumbersome and not as straightforward as using API Gateway's built-in usage plans. Usage plans are specifically designed to handle such scenarios with less overhead."",
    ""Set up a default usage plan, specify values for the rate and burst capacity, and associate it with a stage. If a registered user chooses a larger package, create a custom plan with the appropriate values and associate the plan with the user."": ""This is the correct answer because API Gateway usage plans are specifically designed to manage request throttling and quotas for different users or API keys. They allow developers to set default limits and create custom plans for users who need higher limits, all while keeping management overhead low. Usage plans can be easily associated with API keys, making it simple to manage different request limits for different users. This approach aligns with AWS best practices and is supported by AWS documentation.""
}
```"
